,Tweet,Hashtag
63,"Attention #UBuffalo alumni! Join us for our Spring 2022 Buffalo Chat Series, which will include comments from our new dean on his vision for the school and discussion of current and future strengths within our academic programs. Register now at https://t.co/YGdbs1j3qB. https://t.co/CR6tv6Mboh",ubuffalo
64,"Light therapy may accelerate the healing of skin damage from radiation therapy by up to 50%, according to a recent @UBuffalo-led study.

Learn more ➡️ https://t.co/VkEkJIobZ3 https://t.co/hMxohHKWUI",
65,"Let's BLUE it #UBuffalo! 🤘💙 Help us blue out Alumni Arena next Tuesday, 3/1! 🏀 Free t-shirts, prizes and FUN for everyone! Come and showcase that #UBTrueBlue spirit! 👏 

⏰: 7:00 pm 
📍: Alumni Arena
🆚: Toledo
Learn more about True Blue ➡️ https://t.co/HJAhJEuXRe https://t.co/WDbRg9Eujt",ubuffalo ubtrueblue
66,"Welcome @StrayosAI Spring 2022 #Interns! We're pleased to introduce Ashwin Phadke...

Working for an MS in CS from the @UBuffalo, exploring #AI &amp; #ML applications with us. 

We can't wait to see what we accomplish together!

@UBengineering #internships2022 #intern2022 #UBuffalo https://t.co/7bzYZQrPvJ",interns ai ml internships2022 intern2022 ubuffalo
67,"The #Eweek2022 episode of the #PersistSeries features Dr. Julianna Gesun of @UofNH. She'll be joined by Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, and Dr. Stephany Santos of @UConn during the live Q&amp;A! 

Register for today! https://t.co/xPkvvkFZS7 https://t.co/U2ZkmhSU6l",eweek2022 persistseries
68,"Join us NOW for a live Q&amp;A with Julianna Gesun of 
@UofNH, Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, Dr. Stephany Santos of @UConnEngineer  &amp; moderator Carol Smith of 
@ULdialogue. Join us! https://t.co/xPkvvkop0z #PersistSeries #Eweek2022 https://t.co/XSpFpgJzOI",persistseries eweek2022
69,"Starting in 10 min! Celebrate #Eweek2022 &amp; join us for the #PersistSeries featuring Julianna Gesun of @UofNH with Q&amp;A panelists Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, and Dr. Stephany Santos of @UConnEngineer Register! https://t.co/xPkvvkop0z https://t.co/ZOnY0YNJzp",eweek2022 persistseries
70,#Eweek2022 starts today at #UBuffalo! ⚙️ Drop by the Student Union for fun and interactive activities all day like the Egg Drop! Check out the full schedule here ▶️ https://t.co/cScOiw6hv8 https://t.co/NWyXc8TTkY,eweek2022 ubuffalo
71,"Mitchell Watt (2012 PIT, Buffalo) recorded a double-double of 16 points (7-11 FG) and 11 rebounds to lead Venezia (Italy) to an 81-76 win over Napoli. The veteran center is averaging 15.7 ppg and shooting 56% from the field this season. @UBmenshoops @UBuffalo",
72,"Cameron Priest is a chemical #engineering intern from @UBuffalo. He's helping change the world through engineering by studying electrochemistry for #cleanEnergy applications @INL.

Check out our high school &amp; college internships: https://t.co/nmqgHDHd9g

#EngineersWeek #research https://t.co/8kBbsLt64O",engineering cleanenergy engineersweek research
73,".@UBuffalo School of Dental Medicine is accepting applications for the Destination Dental School program, an initiative that aims to remove barriers to careers in dentistry for underrepresented and disadvantaged students.  https://t.co/P515mw4gfI",
